Data Nascimento,Sexo,Raça,Estrangeiro,Nacionalidade,Naturalidade,UF Naturalidade,Período,Situação atual,Data ocorrência,Estrutura,Período ingresso,Tipo ingresso,IMI,Coeficiente,Tipo de demanda,rga_anonimo
2003-09-19,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,URUANA,GO,20232,AFASTAMENTO POR TRANCAMENTO DE MATRICULA,2023-11-30,20191,20221,INGRESSO POR PROCESSO SELETIVO ESPECÍFICO,0.0,0.05,L5 - Estudante de escola pública,42af675e3d42fdac8de201cec2c3e5d08432d0ab4025947166c5535fb628a50d
2000-10-14,Masculino,Branca,Não,BRASILEIRO,JUSSARA,GO,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20181,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),0.0,0.45,L5 - Estudante de escola pública,f531ceb2a3e3977b86a82aa7ffe4dc0b5635fb19fd10072ff5984bf7f6489302
2001-06-05,Masculino,Branca,Não,BRASILEIRO,CACERES,MT,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20191,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),31.6,3.76,Ampla Concorrência,da917c89ed3ed42939daf7c690ff20a8973940acf9c9df053561c45f42a8f4b9
1999-10-22,Masculino,Branca,Não,BRASILEIRO,TAUBATE,SP,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20191,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),13.7,2.28,Ampla Concorrência,543933106cf525ecabe360a886d5cf4e311aea8f1e94054745507fdc27f44ca2
2000-09-25,Masculino,Branca,Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20211,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),57.9,5.63,Ampla Concorrência,27db55608e8050652d2387b6d876e4f82cb17e6b4c7acc0ae7191b6188d4d851
2004-02-09,Masculino,Branca,Não,BRASILEIRO,GOIANIA,GO,20232,AFASTAMENTO POR TRANCAMENTO DE MATRICULA,2023-11-29,20191,20221,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),12.7,2.39,L5 - Estudante de escola pública,8648ed19830870033146276359846092ff690f6b2df975abcbd6506260bb363c
2005-04-13,Masculino,Indígena,Não,BRASILEIRO,CANARANA,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ESPECÍFICO,7.6,1.48,L5 - Estudante de escola pública,e3aab0c0503a7486ee808c734971a5725cb2c962317f3e2947cb6bcf3412c911
2004-03-24,Masculino,Branca,Não,BRASILEIRO,VILA RICA,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),7.6,2.03,Ampla Concorrência,66be04d817d0277ff7a8085ace241c941dfd6705b8a06f756011ae260507a4d4
2003-06-02,Masculino,Branca,Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20211,INGRESSO POR PROCESSO SELETIVO ESPECÍFICO,35.0,4.11,Ampla Concorrência,448a88e9527b4aa8f863d7444a900a9161f9b4c9e05e1c444ad95efd8d6a31ea
1990-08-04,Masculino,Branca,Não,BRASILEIRO,RONDONOPOLIS,MT,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20221,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),0.0,0.0,Ampla Concorrência,987d6979365a067f5ca3491f1406b0e0ac833e3e77f95775da8f5f6a9723ce7a
